index,number_of_day,mounth,day_of_week,type_of_car,car_number,mass_of_trash,size_of_trash,density,tmax,tmin
6131,26,Апрель,понедельник,Самосвал,Н589ТТ154,4900,33,"148,4848485",+12°,+3°
6132,26,Апрель,понедельник,Самосвал,Н849ТТ154,2740,33,"83,03030303",+12°,+3°
6133,26,Апрель,понедельник,Самосвал,Н861ТТ154,5680,33,"172,1212121",+12°,+3°
6134,26,Апрель,понедельник,Грузовая,Н344РТ154,0,0,0,+12°,+3°
6135,26,Апрель,понедельник,Грузовая,Н345РК154,7020,33,"212,7272727",+12°,+3°
6136,26,Апрель,понедельник,Грузовая,Н412РК154,13460,88,"152,9545455",+12°,+3°
6137,26,Апрель,понедельник,Грузовая,Н419РК154,3460,22,"157,2727273",+12°,+3°
6138,26,Апрель,понедельник,Грузовая,Н515РТ154,3900,24,"162,5",+12°,+3°
6139,26,Апрель,понедельник,Грузовая,Н583РТ154,7240,40,181,+12°,+3°
6140,26,Апрель,понедельник,Грузовая,Н833ТТ154,3960,24,165,+12°,+3°
6141,26,Апрель,понедельник,Грузовая,Н915РУ154,0,0,0,+12°,+3°
6142,26,Апрель,понедельник,КМУ,Н275ОС154,14180,"288,01","49,23440158",+12°,+3°
6143,26,Апрель,понедельник,Фусо,Н547ТТ154,0,0,0,+12°,+3°
6144,26,Апрель,понедельник,Фусо,Н586ТТ154,13080,"148,54","88,057089",+12°,+3°
6145,26,Апрель,понедельник,Боковая,В036АС147,1840,"37,22","49,43578721",+12°,+3°
6146,26,Апрель,понедельник,Боковая,Н403МВ154,7580,"51,39","147,4995135",+12°,+3°
6147,26,Апрель,понедельник,Боковая,Н405МВ154,7000,"66,83","104,7433787",+12°,+3°
6148,26,Апрель,понедельник,Задняя,В222СО178,20060,"237,15","84,58781362",+12°,+3°
6149,26,Апрель,понедельник,Задняя,К281ВС154,22140,"265,35","83,43697004",+12°,+3°
6150,26,Апрель,понедельник,Задняя,К404СВ154,19140,"243,36","78,64891519",+12°,+3°
6151,26,Апрель,понедельник,Задняя,К910ЕА154,33060,"357,35","92,51434168",+12°,+3°
6152,26,Апрель,понедельник,Задняя,Н213НТ123,0,0,0,+12°,+3°
6153,26,Апрель,понедельник,Задняя,Н561УУ154,22980,"253,9","90,50807404",+12°,+3°
6154,26,Апрель,понедельник,Задняя,Н590УУ154,16060,"219,1","73,29986308",+12°,+3°
6155,26,Апрель,понедельник,Задняя,В120ЕН750,15580,"189,84","82,06911083",+12°,+3°
6156,26,Апрель,понедельник,Задняя,B432CX178,17960,96,"187,0833333",+12°,+3°
6157,26,Апрель,понедельник,Задняя,К170ВС154,22840,"273,5","83,51005484",+12°,+3°
6158,26,Апрель,понедельник,Задняя,Н208УУ154,23140,"256,16","90,33416615",+12°,+3°
6159,26,Апрель,понедельник,Задняя,Н252УУ154,19640,"239,85","81,88451115",+12°,+3°
6160,26,Апрель,понедельник,Задняя,Н263УУ154,20940,"255,03","82,1079873",+12°,+3°
6161,26,Апрель,понедельник,Задняя,Н509ТТ154,32720,"345,97","94,5746741",+12°,+3°
6162,26,Апрель,понедельник,Задняя,Н513ТТ154,22460,"279,06","80,48448362",+12°,+3°
6163,26,Апрель,понедельник,Задняя,Н548ТТ154,35640,"386,96","92,1025429",+12°,+3°
6164,26,Апрель,понедельник,Задняя,Н590ТТ154,30080,"313,21","96,03780211",+12°,+3°
6165,26,Апрель,понедельник,Задняя,Н864ТТ154,0,"296,46",0,+12°,+3°
6166,26,Апрель,понедельник,Задняя,О369АР750,22380,"256,78","87,15632059",+12°,+3°
6167,26,Апрель,понедельник,Задняя,Т551РС69,29200,"322,3","90,59882097",+12°,+3°
6168,27,Апрель,вторник,Бункеровоз,В297КЕ147,4860,37,"131,3513514",+14°,+5°
6169,27,Апрель,вторник,Бункеровоз,К721ВС154,6740,48,"140,4166667",+14°,+5°
6170,27,Апрель,вторник,Бункеровоз,Н726РУ154,4380,48,"91,25",+14°,+5°
6171,27,Апрель,вторник,Бункеровоз,Н991НУ154,8440,56,"150,7142857",+14°,+5°
6172,27,Апрель,вторник,Мультилифт,К801ВА154,4100,36,"113,8888889",+14°,+5°
6173,27,Апрель,вторник,Мультилифт,Н416НС154,0,0,0,+14°,+5°
6174,27,Апрель,вторник,Мультилифт,Н869МК154,4820,12,"401,6666667",+14°,+5°
6175,27,Апрель,вторник,Самосвал,В149НА750,2860,"20,5","139,5121951",+14°,+5°
6176,27,Апрель,вторник,Самосвал,К057СC154,3600,17,"211,7647059",+14°,+5°
6177,27,Апрель,вторник,Самосвал,К693СА154,5480,51,"107,4509804",+14°,+5°
6178,27,Апрель,вторник,Самосвал,К722ВС154,4620,33,140,+14°,+5°
6179,27,Апрель,вторник,Самосвал,К836ВС154,3420,22,"155,4545455",+14°,+5°
6180,27,Апрель,вторник,Самосвал,Н200НХ154,8440,48,"175,8333333",+14°,+5°
6181,27,Апрель,вторник,Самосвал,Н283УУ154,3520,33,"106,6666667",+14°,+5°
6182,27,Апрель,вторник,Самосвал,Н300УУ154,6420,44,"145,9090909",+14°,+5°
6183,27,Апрель,вторник,Самосвал,Н534ТТ154,10020,44,"227,7272727",+14°,+5°
6184,27,Апрель,вторник,Самосвал,Н576ТТ154,0,33,0,+14°,+5°
6185,27,Апрель,вторник,Самосвал,Н585ТТ154,6340,33,"192,1212121",+14°,+5°
6186,27,Апрель,вторник,Самосвал,Н587ТТ154,2820,33,"85,45454545",+14°,+5°
6187,27,Апрель,вторник,Самосвал,Н589ТТ154,0,22,0,+14°,+5°
6188,27,Апрель,вторник,Самосвал,Н849ТТ154,2300,22,"104,5454545",+14°,+5°
6189,27,Апрель,вторник,Самосвал,Н861ТТ154,4480,33,"135,7575758",+14°,+5°
6190,27,Апрель,вторник,Грузовая,Н344РТ154,0,0,0,+14°,+5°
6191,27,Апрель,вторник,Грузовая,Н345РК154,5180,33,"156,969697",+14°,+5°
6192,27,Апрель,вторник,Грузовая,Н412РК154,11500,77,"149,3506494",+14°,+5°
6193,27,Апрель,вторник,Грузовая,Н419РК154,5840,22,"265,4545455",+14°,+5°
6194,27,Апрель,вторник,Грузовая,Н515РТ154,1780,16,"111,25",+14°,+5°
6195,27,Апрель,вторник,Грузовая,Н583РТ154,4660,24,"194,1666667",+14°,+5°
6196,27,Апрель,вторник,Грузовая,Н833ТТ154,6620,40,"165,5",+14°,+5°
6197,27,Апрель,вторник,Грузовая,Н915РУ154,560,8,70,+14°,+5°
6198,27,Апрель,вторник,КМУ,Н275ОС154,9000,"245,85","36,60768761",+14°,+5°
6199,27,Апрель,вторник,Фусо,Н547ТТ154,0,0,0,+14°,+5°
6200,27,Апрель,вторник,Фусо,Н586ТТ154,11480,"138,2","83,06801737",+14°,+5°
6201,27,Апрель,вторник,Боковая,В036АС147,3880,"38,31","101,2790394",+14°,+5°
6202,27,Апрель,вторник,Боковая,Н403МВ154,0,"38,25",0,+14°,+5°
6203,27,Апрель,вторник,Боковая,Н405МВ154,4880,"63,13","77,30080786",+14°,+5°
6204,27,Апрель,вторник,Задняя,В222СО178,16360,"229,13","71,40051499",+14°,+5°
6205,27,Апрель,вторник,Задняя,К281ВС154,22480,"259,71","86,55808402",+14°,+5°
6206,27,Апрель,вторник,Задняя,К404СВ154,21400,"239,4","89,39014202",+14°,+5°
6207,27,Апрель,вторник,Задняя,К910ЕА154,17680,"226,63","78,01261969",+14°,+5°
6208,27,Апрель,вторник,Задняя,Н213НТ123,16900,"175,34","96,3841679",+14°,+5°
6209,27,Апрель,вторник,Задняя,Н561УУ154,22160,"258,41","85,75519523",+14°,+5°
6210,27,Апрель,вторник,Задняя,Н590УУ154,25820,"356,48","72,43043088",+14°,+5°
6211,27,Апрель,вторник,Задняя,В120ЕН750,9100,"139,37","65,2938222",+14°,+5°
6212,27,Апрель,вторник,Задняя,B432CX178,12480,75,"166,4",+14°,+5°
6213,27,Апрель,вторник,Задняя,К170ВС154,23560,"286,93","82,11061931",+14°,+5°
6214,27,Апрель,вторник,Задняя,Н208УУ154,22020,"245,16","89,81889378",+14°,+5°
6215,27,Апрель,вторник,Задняя,Н252УУ154,17520,"214,9","81,5262913",+14°,+5°
6216,27,Апрель,вторник,Задняя,Н263УУ154,16780,"252,19","66,5371347",+14°,+5°
6217,27,Апрель,вторник,Задняя,Н509ТТ154,27720,"352,71","78,59147742",+14°,+5°
6218,27,Апрель,вторник,Задняя,Н513ТТ154,24260,"278,56","87,09075244",+14°,+5°
6219,27,Апрель,вторник,Задняя,Н548ТТ154,29400,"395,16","74,40024294",+14°,+5°
6220,27,Апрель,вторник,Задняя,Н590ТТ154,29660,"332,38","89,23521271",+14°,+5°
6221,27,Апрель,вторник,Задняя,Н864ТТ154,0,"242,07",0,+14°,+5°
6222,27,Апрель,вторник,Задняя,О369АР750,0,0,0,+14°,+5°
6223,27,Апрель,вторник,Задняя,Т551РС69,25400,"324,5","78,2742681",+14°,+5°
6224,28,Апрель,среда,Бункеровоз,В297КЕ147,5440,40,136,+19°,+6°
6225,28,Апрель,среда,Бункеровоз,К721ВС154,6700,48,"139,5833333",+19°,+6°
6226,28,Апрель,среда,Бункеровоз,Н726РУ154,0,40,0,+19°,+6°
6227,28,Апрель,среда,Бункеровоз,Н991НУ154,6940,48,"144,5833333",+19°,+6°
6228,28,Апрель,среда,Мультилифт,К801ВА154,5220,36,145,+19°,+6°
6229,28,Апрель,среда,Мультилифт,Н416НС154,9940,24,"414,1666667",+19°,+6°
6230,28,Апрель,среда,Мультилифт,Н869МК154,6220,36,"172,7777778",+19°,+6°
6231,28,Апрель,среда,Самосвал,В149НА750,1720,12,"143,3333333",+19°,+6°
6232,28,Апрель,среда,Самосвал,К057СC154,4960,34,"145,8823529",+19°,+6°
6233,28,Апрель,среда,Самосвал,К693СА154,5180,34,"152,3529412",+19°,+6°
6234,28,Апрель,среда,Самосвал,К722ВС154,2740,22,"124,5454545",+19°,+6°
6235,28,Апрель,среда,Самосвал,К836ВС154,3400,22,"154,5454545",+19°,+6°
6236,28,Апрель,среда,Самосвал,Н200НХ154,7860,48,"163,75",+19°,+6°
6237,28,Апрель,среда,Самосвал,Н283УУ154,6140,33,"186,0606061",+19°,+6°
6238,28,Апрель,среда,Самосвал,Н300УУ154,5580,33,"169,0909091",+19°,+6°
6239,28,Апрель,среда,Самосвал,Н534ТТ154,11680,55,"212,3636364",+19°,+6°
6240,28,Апрель,среда,Самосвал,Н576ТТ154,0,33,0,+19°,+6°
6241,28,Апрель,среда,Самосвал,Н585ТТ154,7580,33,"229,6969697",+19°,+6°
6242,28,Апрель,среда,Самосвал,Н587ТТ154,5100,33,"154,5454545",+19°,+6°
6243,28,Апрель,среда,Самосвал,Н589ТТ154,1560,44,"35,45454545",+19°,+6°
6244,28,Апрель,среда,Самосвал,Н849ТТ154,4400,22,200,+19°,+6°
6245,28,Апрель,среда,Самосвал,Н861ТТ154,3160,22,"143,6363636",+19°,+6°
6246,28,Апрель,среда,Грузовая,Н344РТ154,0,0,0,+19°,+6°
6247,28,Апрель,среда,Грузовая,Н345РК154,5920,33,"179,3939394",+19°,+6°
6248,28,Апрель,среда,Грузовая,Н412РК154,9720,66,"147,2727273",+19°,+6°
6249,28,Апрель,среда,Грузовая,Н419РК154,7260,33,220,+19°,+6°
6250,28,Апрель,среда,Грузовая,Н515РТ154,3940,24,"164,1666667",+19°,+6°
6251,28,Апрель,среда,Грузовая,Н583РТ154,8100,40,"202,5",+19°,+6°
6252,28,Апрель,среда,Грузовая,Н833ТТ154,6180,32,"193,125",+19°,+6°
6253,28,Апрель,среда,Грузовая,Н915РУ154,0,0,0,+19°,+6°
6254,28,Апрель,среда,КМУ,Н275ОС154,12780,"292,75","43,65499573",+19°,+6°
6255,28,Апрель,среда,Фусо,Н547ТТ154,3920,"80,36","48,7804878",+19°,+6°
6256,28,Апрель,среда,Фусо,Н586ТТ154,6960,"131,68","52,85540705",+19°,+6°
6257,28,Апрель,среда,Боковая,В036АС147,6720,"78,15","85,98848369",+19°,+6°
6258,28,Апрель,среда,Боковая,Н403МВ154,0,"47,84",0,+19°,+6°
6259,28,Апрель,среда,Боковая,Н405МВ154,6640,"70,38","94,34498437",+19°,+6°
6260,28,Апрель,среда,Задняя,В222СО178,14840,"229,96","64,53296225",+19°,+6°
6261,28,Апрель,среда,Задняя,К281ВС154,19700,"262,07","75,1707559",+19°,+6°
6262,28,Апрель,среда,Задняя,К404СВ154,12940,"237,4","54,50716091",+19°,+6°
6263,28,Апрель,среда,Задняя,К910ЕА154,29140,"356,07","81,83784087",+19°,+6°
6264,28,Апрель,среда,Задняя,Н213НТ123,20460,"221,25","92,47457627",+19°,+6°
6265,28,Апрель,среда,Задняя,Н561УУ154,20580,"256,1","80,35923467",+19°,+6°
6266,28,Апрель,среда,Задняя,Н590УУ154,13100,"217,64","60,19114133",+19°,+6°
6267,28,Апрель,среда,Задняя,В120ЕН750,12180,"181,16","67,23338485",+19°,+6°
6268,28,Апрель,среда,Задняя,B432CX178,4540,80,"56,75",+19°,+6°
6269,28,Апрель,среда,Задняя,К170ВС154,20580,"269,59","76,33814311",+19°,+6°
6270,28,Апрель,среда,Задняя,Н208УУ154,17040,"226,74","75,15215666",+19°,+6°
6271,28,Апрель,среда,Задняя,Н252УУ154,19340,"233,83","82,70966086",+19°,+6°
6272,28,Апрель,среда,Задняя,Н263УУ154,17920,"258,74","69,25871531",+19°,+6°
6273,28,Апрель,среда,Задняя,Н509ТТ154,24380,"323,07","75,46352184",+19°,+6°
6274,28,Апрель,среда,Задняя,Н513ТТ154,21120,"285,78","73,90300231",+19°,+6°
6275,28,Апрель,среда,Задняя,Н548ТТ154,28580,"404,15","70,7163182",+19°,+6°
6276,28,Апрель,среда,Задняя,Н590ТТ154,26180,"301,47","86,84114506",+19°,+6°
6277,28,Апрель,среда,Задняя,Н864ТТ154,0,"272,9",0,+19°,+6°
6278,28,Апрель,среда,Задняя,О369АР750,0,0,0,+19°,+6°
6279,28,Апрель,среда,Задняя,Т551РС69,23140,"323,51","71,52792804",+19°,+6°
6280,29,Апрель,четверг,Бункеровоз,В297КЕ147,4400,40,110,+14°,+4°
6281,29,Апрель,четверг,Бункеровоз,К721ВС154,6820,48,"142,0833333",+14°,+4°
6282,29,Апрель,четверг,Бункеровоз,Н726РУ154,8380,48,"174,5833333",+14°,+4°
6283,29,Апрель,четверг,Бункеровоз,Н991НУ154,8920,48,"185,8333333",+14°,+4°
6284,29,Апрель,четверг,Мультилифт,К801ВА154,3800,36,"105,5555556",+14°,+4°
6285,29,Апрель,четверг,Мультилифт,Н416НС154,0,48,0,+14°,+4°
6286,29,Апрель,четверг,Мультилифт,Н869МК154,10060,24,"419,1666667",+14°,+4°
6287,29,Апрель,четверг,Самосвал,В149НА750,3580,18,"198,8888889",+14°,+4°
6288,29,Апрель,четверг,Самосвал,К057СC154,3040,12,"253,3333333",+14°,+4°
6289,29,Апрель,четверг,Самосвал,К693СА154,5660,34,"166,4705882",+14°,+4°
6290,29,Апрель,четверг,Самосвал,К722ВС154,2240,11,"203,6363636",+14°,+4°
6291,29,Апрель,четверг,Самосвал,К836ВС154,2300,22,"104,5454545",+14°,+4°
6292,29,Апрель,четверг,Самосвал,Н200НХ154,6200,32,"193,75",+14°,+4°
6293,29,Апрель,четверг,Самосвал,Н283УУ154,4980,33,"150,9090909",+14°,+4°
6294,29,Апрель,четверг,Самосвал,Н300УУ154,6200,33,"187,8787879",+14°,+4°
6295,29,Апрель,четверг,Самосвал,Н534ТТ154,2660,22,"120,9090909",+14°,+4°
6296,29,Апрель,четверг,Самосвал,Н576ТТ154,0,33,0,+14°,+4°
6297,29,Апрель,четверг,Самосвал,Н585ТТ154,6240,44,"141,8181818",+14°,+4°
6298,29,Апрель,четверг,Самосвал,Н587ТТ154,5220,22,"237,2727273",+14°,+4°
6299,29,Апрель,четверг,Самосвал,Н589ТТ154,0,33,0,+14°,+4°
6300,29,Апрель,четверг,Самосвал,Н849ТТ154,6040,44,"137,2727273",+14°,+4°
6301,29,Апрель,четверг,Самосвал,Н861ТТ154,6060,44,"137,7272727",+14°,+4°
6302,29,Апрель,четверг,Грузовая,Н344РТ154,0,0,0,+14°,+4°
6303,29,Апрель,четверг,Грузовая,Н345РК154,3220,22,"146,3636364",+14°,+4°
6304,29,Апрель,четверг,Грузовая,Н412РК154,6940,33,"210,3030303",+14°,+4°
6305,29,Апрель,четверг,Грузовая,Н419РК154,2060,11,"187,2727273",+14°,+4°
6306,29,Апрель,четверг,Грузовая,Н515РТ154,4620,24,"192,5",+14°,+4°
6307,29,Апрель,четверг,Грузовая,Н583РТ154,5520,32,"172,5",+14°,+4°
6308,29,Апрель,четверг,Грузовая,Н833ТТ154,5640,24,235,+14°,+4°
6309,29,Апрель,четверг,Грузовая,Н915РУ154,0,0,0,+14°,+4°
6310,29,Апрель,четверг,КМУ,Н275ОС154,8600,"272,55","31,55384333",+14°,+4°
6311,29,Апрель,четверг,Фусо,Н547ТТ154,0,0,0,+14°,+4°
6312,29,Апрель,четверг,Фусо,Н586ТТ154,8940,"130,3","68,61089793",+14°,+4°
6313,29,Апрель,четверг,Боковая,В036АС147,2440,"34,3","71,13702624",+14°,+4°
6314,29,Апрель,четверг,Боковая,Н403МВ154,0,"59,17",0,+14°,+4°
6315,29,Апрель,четверг,Боковая,Н405МВ154,8120,72,"112,7777778",+14°,+4°
6316,29,Апрель,четверг,Задняя,В222СО178,6300,"86,3","73,00115875",+14°,+4°
6317,29,Апрель,четверг,Задняя,К281ВС154,17060,"252,9","67,45749308",+14°,+4°
6318,29,Апрель,четверг,Задняя,К404СВ154,16940,"231,1","73,30160104",+14°,+4°
6319,29,Апрель,четверг,Задняя,К910ЕА154,24280,"329,64","73,6561097",+14°,+4°
6320,29,Апрель,четверг,Задняя,Н213НТ123,11640,"110,44","105,3965954",+14°,+4°
6321,29,Апрель,четверг,Задняя,Н561УУ154,16900,"246,64","68,52092118",+14°,+4°
6322,29,Апрель,четверг,Задняя,Н590УУ154,13960,"218,14","63,99559916",+14°,+4°
6323,29,Апрель,четверг,Задняя,В120ЕН750,7680,"134,07","57,28350861",+14°,+4°
6324,29,Апрель,четверг,Задняя,B432CX178,11960,64,"186,875",+14°,+4°
6325,29,Апрель,четверг,Задняя,К170ВС154,19360,"270,8","71,49187592",+14°,+4°
6326,29,Апрель,четверг,Задняя,Н208УУ154,16020,"228,48","70,11554622",+14°,+4°
6327,29,Апрель,четверг,Задняя,Н252УУ154,12900,"220,13","58,60173534",+14°,+4°
6328,29,Апрель,четверг,Задняя,Н263УУ154,15720,"245,13","64,12923755",+14°,+4°
6329,29,Апрель,четверг,Задняя,Н509ТТ154,24920,"352,32","70,7311535",+14°,+4°
6330,29,Апрель,четверг,Задняя,Н513ТТ154,19320,"273,93","70,52896725",+14°,+4°
6331,29,Апрель,четверг,Задняя,Н548ТТ154,29000,"331,97","87,35729132",+14°,+4°
6332,29,Апрель,четверг,Задняя,Н590ТТ154,28000,"333,01","84,08155911",+14°,+4°
6333,29,Апрель,четверг,Задняя,Н864ТТ154,0,"264,7",0,+14°,+4°
6334,29,Апрель,четверг,Задняя,О369АР750,13440,"244,31","55,01207482",+14°,+4°
6335,29,Апрель,четверг,Задняя,Т551РС69,23080,"316,8","72,85353535",+14°,+4°
6336,30,Апрель,пятница,Бункеровоз,В297КЕ147,7360,48,"153,3333333",+16°,+4°
6337,30,Апрель,пятница,Бункеровоз,К721ВС154,6200,64,"96,875",+16°,+4°
6338,30,Апрель,пятница,Бункеровоз,Н726РУ154,11380,72,"158,0555556",+16°,+4°
6339,30,Апрель,пятница,Бункеровоз,Н991НУ154,10140,64,"158,4375",+16°,+4°
6340,30,Апрель,пятница,Мультилифт,К801ВА154,3660,36,"101,6666667",+16°,+4°
6341,30,Апрель,пятница,Мультилифт,Н416НС154,1720,27,"63,7037037",+16°,+4°
6342,30,Апрель,пятница,Мультилифт,Н869МК154,5540,36,"153,8888889",+16°,+4°
6343,30,Апрель,пятница,Самосвал,В149НА750,2640,18,"146,6666667",+16°,+4°
6344,30,Апрель,пятница,Самосвал,К057СC154,3200,17,"188,2352941",+16°,+4°
6345,30,Апрель,пятница,Самосвал,К693СА154,2300,17,"135,2941176",+16°,+4°
6346,30,Апрель,пятница,Самосвал,К722ВС154,3720,22,"169,0909091",+16°,+4°
6347,30,Апрель,пятница,Самосвал,К836ВС154,6020,33,"182,4242424",+16°,+4°
6348,30,Апрель,пятница,Самосвал,Н200НХ154,4760,24,"198,3333333",+16°,+4°
6349,30,Апрель,пятница,Самосвал,Н283УУ154,3040,22,"138,1818182",+16°,+4°
6350,30,Апрель,пятница,Самосвал,Н300УУ154,5200,33,"157,5757576",+16°,+4°
6351,30,Апрель,пятница,Самосвал,Н534ТТ154,5640,33,"170,9090909",+16°,+4°
6352,30,Апрель,пятница,Самосвал,Н576ТТ154,3900,22,"177,2727273",+16°,+4°
6353,30,Апрель,пятница,Самосвал,Н585ТТ154,4340,22,"197,2727273",+16°,+4°
6354,30,Апрель,пятница,Самосвал,Н587ТТ154,4560,22,"207,2727273",+16°,+4°
6355,30,Апрель,пятница,Самосвал,Н589ТТ154,5560,22,"252,7272727",+16°,+4°
6356,30,Апрель,пятница,Самосвал,Н849ТТ154,8440,66,"127,8787879",+16°,+4°
6357,30,Апрель,пятница,Самосвал,Н861ТТ154,2440,22,"110,9090909",+16°,+4°
6358,30,Апрель,пятница,Грузовая,Н344РТ154,7980,32,"249,375",+16°,+4°
6359,30,Апрель,пятница,Грузовая,Н345РК154,2880,22,"130,9090909",+16°,+4°
6360,30,Апрель,пятница,Грузовая,Н412РК154,0,0,0,+16°,+4°
6361,30,Апрель,пятница,Грузовая,Н419РК154,3320,22,"150,9090909",+16°,+4°
6362,30,Апрель,пятница,Грузовая,Н515РТ154,4000,24,"166,6666667",+16°,+4°
6363,30,Апрель,пятница,Грузовая,Н583РТ154,4880,24,"203,3333333",+16°,+4°
6364,30,Апрель,пятница,Грузовая,Н833ТТ154,4140,24,"172,5",+16°,+4°
6365,30,Апрель,пятница,Грузовая,Н915РУ154,5100,16,"318,75",+16°,+4°
6366,30,Апрель,пятница,КМУ,Н275ОС154,14760,"297,31","49,64515153",+16°,+4°
6367,30,Апрель,пятница,Фусо,Н547ТТ154,0,0,0,+16°,+4°
6368,30,Апрель,пятница,Фусо,Н586ТТ154,1720,"14,3","120,2797203",+16°,+4°
6369,30,Апрель,пятница,Боковая,В036АС147,5420,"61,64","87,92991564",+16°,+4°
6370,30,Апрель,пятница,Боковая,Н403МВ154,8780,"62,02","141,5672364",+16°,+4°
6371,30,Апрель,пятница,Боковая,Н405МВ154,5840,"69,75","83,72759857",+16°,+4°
6372,30,Апрель,пятница,Задняя,В222СО178,0,0,0,+16°,+4°
6373,30,Апрель,пятница,Задняя,К281ВС154,21660,"275,58","78,59786632",+16°,+4°
6374,30,Апрель,пятница,Задняя,К404СВ154,27680,"360,59","76,76308273",+16°,+4°
6375,30,Апрель,пятница,Задняя,К910ЕА154,22060,"239,47","92,12009855",+16°,+4°
6376,30,Апрель,пятница,Задняя,Н213НТ123,15860,"201,29","78,79179294",+16°,+4°
6377,30,Апрель,пятница,Задняя,Н561УУ154,21180,"255,42","82,92224571",+16°,+4°
6378,30,Апрель,пятница,Задняя,Н590УУ154,15140,"218,41","69,31917037",+16°,+4°
6379,30,Апрель,пятница,Задняя,В120ЕН750,9600,"151,64","63,30783434",+16°,+4°
6380,30,Апрель,пятница,Задняя,B432CX178,0,0,0,+16°,+4°
6381,30,Апрель,пятница,Задняя,К170ВС154,22680,"271,49","83,53898854",+16°,+4°
6382,30,Апрель,пятница,Задняя,Н208УУ154,21820,"241,7","90,27720314",+16°,+4°
6383,30,Апрель,пятница,Задняя,Н252УУ154,19360,"229,87","84,22151651",+16°,+4°
6384,30,Апрель,пятница,Задняя,Н263УУ154,20020,"259,32","77,20191269",+16°,+4°
6385,30,Апрель,пятница,Задняя,Н509ТТ154,32340,"340,75","94,90829054",+16°,+4°
6386,30,Апрель,пятница,Задняя,Н513ТТ154,23220,"283,28","81,96837052",+16°,+4°
6387,30,Апрель,пятница,Задняя,Н548ТТ154,40880,"405,69","100,7665952",+16°,+4°
6388,30,Апрель,пятница,Задняя,Н590ТТ154,31540,"308,04","102,3893001",+16°,+4°
6389,30,Апрель,пятница,Задняя,Н864ТТ154,19760,"301,03","65,64129821",+16°,+4°
6390,30,Апрель,пятница,Задняя,О369АР750,21700,"249,85","86,85211127",+16°,+4°
6391,30,Апрель,пятница,Задняя,Т551РС69,26540,"324,5","81,78736518",+16°,+4°
6392,1,Май,суббота,Бункеровоз,В297КЕ147,6160,40,154,+13°,+4°
6393,1,Май,суббота,Бункеровоз,К721ВС154,5780,48,"120,4166667",+13°,+4°
6394,1,Май,суббота,Бункеровоз,Н726РУ154,8900,56,"158,9285714",+13°,+4°
6395,1,Май,суббота,Бункеровоз,Н991НУ154,4100,48,"85,41666667",+13°,+4°
6396,1,Май,суббота,Мультилифт,К801ВА154,3660,36,"101,6666667",+13°,+4°
6397,1,Май,суббота,Мультилифт,Н416НС154,0,0,0,+13°,+4°
6398,1,Май,суббота,Мультилифт,Н869МК154,7020,36,195,+13°,+4°
6399,1,Май,суббота,Самосвал,В149НА750,2700,18,150,+13°,+4°
6400,1,Май,суббота,Самосвал,К057СC154,4100,34,"120,5882353",+13°,+4°
6401,1,Май,суббота,Самосвал,К693СА154,3560,34,"104,7058824",+13°,+4°
6402,1,Май,суббота,Самосвал,К722ВС154,3680,33,"111,5151515",+13°,+4°
6403,1,Май,суббота,Самосвал,К836ВС154,4300,33,"130,3030303",+13°,+4°
6404,1,Май,суббота,Самосвал,Н200НХ154,6660,32,"208,125",+13°,+4°
6405,1,Май,суббота,Самосвал,Н283УУ154,3900,33,"118,1818182",+13°,+4°
6406,1,Май,суббота,Самосвал,Н300УУ154,5780,44,"131,3636364",+13°,+4°
6407,1,Май,суббота,Самосвал,Н344РТ154,7180,24,"299,1666667",+13°,+4°
6408,1,Май,суббота,Самосвал,Н345РК154,4300,33,"130,3030303",+13°,+4°
6409,1,Май,суббота,Самосвал,Н412РК154,11240,55,"204,3636364",+13°,+4°
6410,1,Май,суббота,Самосвал,Н419РК154,4440,22,"201,8181818",+13°,+4°
6411,1,Май,суббота,Самосвал,Н515РТ154,4720,24,"196,6666667",+13°,+4°
6412,1,Май,суббота,Самосвал,Н534ТТ154,7620,33,"230,9090909",+13°,+4°
6413,1,Май,суббота,Самосвал,Н576ТТ154,5920,33,"179,3939394",+13°,+4°
6414,1,Май,суббота,Самосвал,Н583РТ154,8040,48,"167,5",+13°,+4°
6415,1,Май,суббота,Самосвал,Н585ТТ154,4960,22,"225,4545455",+13°,+4°
6416,1,Май,суббота,Самосвал,Н587ТТ154,3980,33,"120,6060606",+13°,+4°
6417,1,Май,суббота,Самосвал,Н589ТТ154,6580,33,"199,3939394",+13°,+4°
6418,1,Май,суббота,Самосвал,Н833ТТ154,4720,24,"196,6666667",+13°,+4°
6419,1,Май,суббота,Самосвал,Н849ТТ154,7020,33,"212,7272727",+13°,+4°
6420,1,Май,суббота,Самосвал,Н861ТТ154,4780,33,"144,8484848",+13°,+4°
6421,1,Май,суббота,Самосвал,Н915РУ154,8480,24,"353,3333333",+13°,+4°
6422,1,Май,суббота,КМУ,Н275ОС154,7620,"273,21","27,89063358",+13°,+4°
6423,1,Май,суббота,фусо,Н547ТТ154,0,0,0,+13°,+4°
6424,1,Май,суббота,фусо,Н586ТТ154,0,0,0,+13°,+4°
6425,1,Май,суббота,боковая,В036АС147,3520,"37,36","94,21841542",+13°,+4°
6426,1,Май,суббота,боковая,Н403МВ154,5140,"37,33","137,6908653",+13°,+4°
